Wavelength [nm]	Intensity1	Intensity2	Intensity3	Intensity4	Intensity5	Intensity6	Intensity7	Intensity8	Intensity9	Intensity10	Intensity11	Intensity12	Intensity13	Intensity14	Intensity15	Intensity16
186.3251	-7.702581	4.562985	-7.305405	-6.43535	-0.494562	-7.604507	2.055545	-2.870243	13.05635	-4.010101	5.721896	7.233407	-5.155336	3.112693	0.5183392	-9.202499
186.6682	-11.32913	-4.565658	-10.27342	4.428075	-2.96659	2.387752	-5.014832	-3.275526	3.245607	-5.156744	-4.568955	7.414417	-11.27991	-6.778487	-1.989088	-2.394559
187.0112	-14.12431	-5.346517	-3.852818	-9.15663	0.3438687	5.402675	-0.2430081	-4.359067	-2.400331	-6.216046	-6.204696	-4.318678	-10.07621	-14.97937	-3.654899	-6.45544
187.3543	-8.495382	0.03844023	-0.2253377	-9.940812	15.25266	8.631355	11.16561	1.360066	-0.4080066	-16.46627	-3.140412	-4.261701	-6.83901	-5.900134	-5.914421	-19.94303
187.6973	6.411786	1.967061	-1.801652	-7.305999	2.3987	4.302824	3.243419	11.25324	0.1506241	-10.80861	-3.346051	-7.361166	-5.579475	4.266298	-4.921348	-20.65559
188.0404	11.18622	1.141962	1.660398	-2.074843	0.4440802	1.426933	-6.783091	7.479396	3.183944	-6.679596	-2.828051	-12.53975	2.408183	2.843145	-6.895006	-16.03737
188.3834	3.008106	-3.784731	0.6378337	-9.267315	-4.767495	-7.142213	-8.497988	1.87843	-0.1893596	-4.883289	-3.0289	-18.60721	8.11095	1.077406	-9.475869	-14.80239
188.7265	3.362619	-2.726985	4.657769	-2.893413	3.033984	-7.075867	-0.7498451	-0.123248	-6.172381	-17.05537	-6.085825	-5.113412	-7.205891	0.3660948	-14.12598	-20.39169
189.0695	10.43691	-1.470113	0.1520084	-1.795196	-0.8850657	2.008507	2.389314	2.602185	-7.765777	-17.70555	-15.77952	-3.676496	-8.812685	-8.347497	-16.84697	-13.69868
189.4125	6.386488	4.806189	8.129837	-10.77291	5.828304	1.888744	1.148836	-1.73924	-2.667423	-15.80867	-12.42404	-1.225621	-7.562032	-1.612826	-8.22014	-16.4787
