"GDD, fs^2","FOD, fs^4","Simulated Angular Frequency Width, /s"
626.3157894736843,29473.6842105263,303266679765669.1
626.3157894736843,41263.157894736825,303024613506706.3
626.3157894736843,53052.63157894735,302756298470444.3
626.3157894736843,64842.10526315788,302461911264768.75
626.3157894736843,76631.57894736841,302147446114369.1
626.3157894736843,88421.05263157893,301821760055145.94
626.3157894736843,100210.52631578947,301496545555527.7
626.3157894736843,111999.99999999999,301188375814272.75
700.0000000000001,-111999.99999999999,297303390711003.1
700.0000000000001,-100210.52631578947,296969391115144.25
700.0000000000001,-88421.05263157893,296671932200059.4
700.0000000000001,-76631.57894736841,296437003408793.1
700.0000000000001,-64842.10526315789,296295177137212.7
700.0000000000001,-53052.63157894737,296282381991245.25
700.0000000000001,-41263.15789473685,296437939267103.06
700.0000000000001,-29473.684210526317,296807043045672.44
700.0000000000001,-17684.21052631579,297441574350562.56
700.0000000000001,-5894.736842105263,295636558227952.56
700.0000000000001,5894.736842105263,295417261204662.2
700.0000000000001,17684.21052631579,295202270667431.94
700.0000000000001,29473.6842105263,294976392008457.06
700.0000000000001,41263.157894736825,294728163036658.4
700.0000000000001,53052.63157894735,294450240326564.3
700.0000000000001,64842.10526315788,294139985572812.3
700.0000000000001,76631.57894736841,293799477730537.9
700.0000000000001,88421.05263157893,293436666961494.1
700.0000000000001,100210.52631578947,293063423857899.75
700.0000000000001,111999.99999999999,292698971025044.7
