"TOD, fs^3","FOD, fs^4","Simulated Angular Frequency Width, /s"
41157.89473684211,-100210.52631578947,327291286114157.7
41157.89473684211,-88421.05263157893,327284966356989.06
41157.89473684211,-76631.57894736841,327277985962104.25
41157.89473684211,-64842.10526315789,327270344646583.44
41157.89473684211,-53052.63157894737,327262163814647.3
41157.89473684211,-41263.15789473685,327253932621687.6
41157.89473684211,-29473.684210526317,327244700584588.7
41157.89473684211,-17684.21052631579,327235408223716.3
41157.89473684211,-5894.736842105263,327224820121539.75
41157.89473684211,5894.736842105263,327214322865364.4
41157.89473684211,17684.21052631579,327203146230294.1
41157.89473684211,29473.6842105263,327191404200143.0
41157.89473684211,41263.157894736825,327179219129824.06
41157.89473684211,53052.63157894735,327166112687452.4
41157.89473684211,64842.10526315788,327152643652323.06
41157.89473684211,76631.57894736841,327137999181917.06
41157.89473684211,88421.05263157893,327123404091062.75
41157.89473684211,100210.52631578947,327108590909115.9
41157.89473684211,111999.99999999999,327092130012827.44
46000.0,-111999.99999999999,325197201769182.1
46000.0,-100210.52631578947,325190866999350.9
46000.0,-88421.05263157893,325184547537957.7
46000.0,-76631.57894736841,325178099208134.0
46000.0,-64842.10526315789,325172262529013.56
46000.0,-53052.63157894737,325165950892137.6
46000.0,-41263.15789473685,325160168041137.3
46000.0,-29473.684210526317,325154163792094.3
46000.0,-17684.21052631579,325148595643842.94
46000.0,-5894.736842105263,325142279818107.06
46000.0,5894.736842105263,325138454750995.4
46000.0,17684.21052631579,325132542630540.2
46000.0,29473.6842105263,325127516121597.3
46000.0,41263.157894736825,325123826381361.75
46000.0,53052.63157894735,325119559434258.3
46000.0,64842.10526315788,325116092245631.75
46000.0,76631.57894736841,325113140850630.44
46000.0,88421.05263157893,325111079951587.3
46000.0,100210.52631578947,325110987709298.8
46000.0,111999.99999999999,325107557912736.75
