SPECTRUM DATA FILE
SpectrumCount:	7
PixelCount:	2500
UserName:	Atto
SampleName:	
LightSource:	
Comments:	
DeviceName:	Qmini
DeviceManufacturer:	RGB Photonics
DeviceSerialNo:	20020

Name:	press0_2	press0_4	press0_6	press0_8	press1_0	press1_2	press1_4
Date:	2022-02-16T16:39:57.0793301+00:00	2022-02-16T16:41:53.4875983+00:00	2022-02-16T16:42:37.8891153+00:00	2022-02-16T16:43:58.5908464+00:00	2022-02-16T16:44:44.0927301+00:00	2022-02-16T16:47:09.5960090+00:00	2022-02-16T16:48:10.2987359+00:00
ExposureTime:	0.1	0.1	0.1	0.1	0.1	0.1	0.1
TemporalAvg:	10	10	10	10	10	10	10
IntensityUnit:	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue
CCDLoadLevel:	0.2710881	0.222379	0.1448925	0.08582424	0.06430244	0.06372198	0.05398405
Temperature:	24.6405	24.53796	24.53796	24.6405	24.53796	24.6405	24.53796
DiagramColor:	200	16711680	49152	16711935	42495	12632064	3368611
ProcessingSteps:	783	783	783	783	783	783	783

Wavelength [nm]	Intensity1	Intensity2	Intensity3	Intensity4	Intensity5	Intensity6	Intensity7
257.8658	-4.244409	3.379149	-17.07442	1.168368	-12.53334	-9.959474	-9.093142
258.2072	-4.6977	5.90692	-10.78193	-17.55406	-1.168476	-25.09476	-6.479783
258.5487	13.64148	2.802468	-3.042326	-9.163757	8.392921	-14.19024	2.11386
258.8902	10.40208	1.440639	1.004757	-7.467844	9.552023	-9.741254	6.076102
259.2317	3.852004	1.453975	-2.77544	-5.495729	10.09392	-2.800061	3.715878
259.5731	-3.369685	11.8716	-0.7059822	-25.60505	2.715445	-9.385553	-9.283814
259.9146	5.108521	8.561739	-2.137495	-7.253995	9.070177	1.135729	-8.27559
260.256	-3.463618	8.134149	2.076293	-4.303741	-1.293499	2.286071	-7.172678
260.5974	-16.67224	13.93759	4.746068	3.888925	-3.075867	-3.402396	-7.399758
260.9388	-4.972489	15.8925	3.988554	-12.77748	-4.278262	-17.03552	-12.25781
261.2803	6.352886	10.10377	1.3324	3.666428	0.8723993	-8.511649	-3.551808
261.6217	9.927532	-2.225054	-12.6005	-6.149892	-5.008225	-9.936287	1.613331
261.9631	10.09954	-0.5138658	-10.7798	-9.096645	8.264085	-13.15983	-5.901661
262.3045	1.266474	-0.1432859	-10.14336	-17.51289	11.86736	-15.28187	-13.08636
262.6458	4.847299	14.74585	3.199375	2.591876	10.85383	-2.607424	-4.946065
262.9872	-3.315138	15.78084	-13.66346	2.060992	-12.89281	-12.69272	2.933401
263.3286	8.826328	0.1847424	-13.32485	2.477804	-5.559201	-14.21731	7.446279
263.67	10.19965	-9.121541	-10.99428	-1.544969	-9.259715	-10.94182	-6.771718
264.0113	6.318441	4.10016	2.6108	-8.030643	1.499787	-7.316425	-9.740898
264.3527	-4.897418	10.55666	-12.06291	-16.30973	-1.528489	-9.010498	-14.4186
264.694	-5.833746	8.106678	-17.83733	-5.717165	14.77753	-16.15195	2.026671
265.0353	-5.403137	7.979505	-19.35046	-3.058827	10.92493	-16.25523	11.5866
265.3766	-20.40001	10.5137	-16.75136	-13.70802	10.71194	-17.95918	14.23069
