Wavelength [nm]	Intensity1	Intensity2	Intensity3	Intensity4	Intensity5	Intensity6	Intensity7	Intensity8	Intensity9	Intensity10	Intensity11	Intensity12	Intensity13	Intensity14
199.0141	-10.84529	-11.45996	-6.581939	-7.140113	-1.447082	6.078889	-13.94546	-4.575212	-0.7187929	1.108207	3.807808	-6.733021	14.71291	3.714909
199.3569	3.469064	-9.446645	-3.5881	0.2301438	5.905461	-9.394704	-8.137411	-11.22432	-7.145239	-3.694829	-4.052835	-9.685449	14.82437	-5.122263
199.6997	-0.4478098	1.112222	-2.286438	-2.123082	11.26988	-6.523097	-9.256714	-10.87461	-3.924727	-9.080409	-6.100575	1.815781	-0.3168736	1.678227
200.0424	-12.92993	5.425729	-16.74734	-4.019264	11.8743	-1.413475	-12.91774	-8.4472	2.928579	-5.400712	-18.74732	5.143451	4.961064	9.016685
200.3852	-14.18972	7.340823	-13.93637	-1.063684	-2.185352	5.385283	-4.70311	-4.648536	-0.7989815	4.278896	-12.42699	1.94974	16.47925	19.2842
200.728	-6.89071	2.763524	-1.336011	6.064982	-6.019849	0.9711344	8.590322	-16.64977	-14.61196	5.276532	-2.91273	1.580258	5.39771	13.04734
201.0708	-0.5035818	2.286485	3.149589	7.446022	8.701182	5.800305	6.562412	-6.086282	-13.62858	-5.118731	8.078745	5.264377	-7.459384	12.81754
201.4135	6.865664	5.491582	-3.25513	3.057342	8.662953	5.319968	-5.336401	0.4227429	-1.371132	-12.26511	-5.934155	6.743207	-4.826066	1.248345
201.7563	1.343262	8.203586	-19.95461	-6.803683	6.385826	13.83373	-10.79173	16.59537	2.58937	-13.00601	-22.5794	18.1502	18.76011	11.08453
202.0991	-1.059342	6.044968	-15.05588	-11.86737	0.2397312	7.207409	-10.08199	11.89832	2.833322	-10.33239	-28.79876	16.90227	10.21084	-0.7916174
