SPECTRUM DATA FILE
SpectrumCount:	11
PixelCount:	2500
UserName:	Atto
SampleName:	
LightSource:	
Comments:	
DeviceName:	Qmini
DeviceManufacturer:	RGB Photonics
DeviceSerialNo:	20020

Name:	pow1_24	pow1_1	pow1_0	pow0_9	pow0_8	pow0_7	pow0_6	pow0_5	pow0_4	pow0_3	pow1_2
Date:	2022-02-16T15:59:59.9267058+00:00	2022-02-16T16:02:25.4351774+00:00	2022-02-16T16:03:57.0377985+00:00	2022-02-16T16:06:19.8417797+00:00	2022-02-16T16:08:22.2451256+00:00	2022-02-16T16:10:29.3486375+00:00	2022-02-16T16:12:12.4520741+00:00	2022-02-16T16:14:06.5548465+00:00	2022-02-16T16:16:13.2576706+00:00	2022-02-16T16:17:47.4606495+00:00	2022-02-16T16:19:54.1635794+00:00
ExposureTime:	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
TemporalAvg:	10	10	10	10	10	10	10	10	10	10	10
IntensityUnit:	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue
CCDLoadLevel:	0.0872149	0.1110666	0.1229433	0.09682628	0.06592862	0.07021003	0.07415643	0.06700621	0.08959481	0.09693237	0.08867021
Temperature:	23.82187	24.12839	24.23068	24.43546	24.43546	24.6405	24.53796	24.53796	24.53796	24.6405	24.6405
DiagramColor:	200	16711680	49152	16711935	42495	12632064	3368611	53970	65280	255	12898745
ProcessingSteps:	783	783	783	783	783	783	783	783	783	783	783

Wavelength [nm]	Intensity1	Intensity2	Intensity3	Intensity4	Intensity5	Intensity6	Intensity7	Intensity8	Intensity9	Intensity10	Intensity11
213.7481	3.355162	2.53969	-0.9119005	9.816196	0.4320731	-11.43298	-2.173633	-17.12694	-2.9762	10.73103	8.406278
214.0906	-3.40269	-1.430069	2.524449	4.533152	-3.658781	-0.01811724	8.173285	-12.10983	6.298373	9.647368	15.02091
214.433	-5.52773	2.412066	-0.04036611	-5.057361	-4.632452	1.040794	6.365626	2.673718	-2.039708	10.12358	11.68776
214.7755	12.3836	15.74999	9.32004	-9.077111	-0.3561423	14.96622	15.74365	20.78301	-18.96048	13.5335	2.386308
215.118	14.20365	4.22006	16.47932	-4.22985	9.803807	7.011818	3.085534	12.67257	-22.38937	15.23244	-6.071896
215.4604	9.053232	-9.184779	22.69334	1.758795	11.38612	-0.5142431	11.38742	1.798319	-11.51122	12.74073	-10.17398
215.8029	-7.09674	-13.65762	11.57387	3.635507	-2.616962	-8.049134	2.046262	-2.024206	-12.79237	0.2377543	-14.33503
216.1453	-7.435095	-4.366988	1.50703	10.50568	-13.06697	0.2411926	10.58946	-1.312392	-19.45722	3.75203	-12.07303
216.4878	-3.555241	1.181055	3.556134	9.440216	-3.74983	-2.738742	11.51789	-0.9816719	-19.57394	-6.060308	-2.055766
216.8302	10.74599	-4.162525	11.90234	2.871422	4.292658	4.081316	16.11462	-3.082529	-10.82843	4.765571	11.36324
217.1726	14.72523	-4.331021	13.1194	-4.456633	7.317142	7.91933	8.833074	-5.043471	1.425383	-0.193693	-2.435015
217.515	13.64559	-4.389201	3.797954	-7.562781	4.037239	6.549482	-0.1851344	-13.6136	7.754531	9.479931	-1.730945
217.8574	-0.9816146	-5.155314	-7.851742	-1.043193	-0.0380842	-0.1484662	-2.092797	-17.99414	12.2787	3.140523	1.71141
218.1998	1.792415	-5.000558	-10.12685	-0.1599794	-8.666947	0.3103514	3.950963	-14.44388	3.071892	16.74116	20.37049
218.5422	-3.537078	-1.076235	-3.164618	-1.218512	-15.38492	-5.132471	5.096159	-11.63233	-13.55406	13.8969	15.69066
218.8846	0.6361644	5.543223	9.805775	-0.2754562	-17.40374	5.396062	-3.248788	-1.024609	-20.71572	6.595711	16.08221
219.227	-11.66998	0.8011487	10.04027	11.16958	-12.10141	14.06226	-8.919237	-3.795195	-9.562195	-10.76679	6.373886
219.5694	0.9392795	2.647821	4.167136	16.14465	-1.33239	20.96539	-1.998557	-4.156863	-1.373763	-8.850709	10.57099
219.9117	5.895716	4.063807	-3.731797	-3.022964	0.2693712	3.655418	8.804291	-0.2172298	-6.51948	-4.217388	9.341242
220.2541	5.287056	12.50416	0.1614307	-4.731057	2.491722	-3.177895	15.59671	10.57503	-14.1434	9.015522	9.174223
220.5964	-9.254057	8.874188	-1.989125	-5.763674	-0.3432326	4.373957	6.57004	2.372648	-21.56562	4.012611	2.53912
220.9387	-8.472548	6.921222	2.855251	1.157315	-1.129854	27.26928	7.346265	-0.4358948	-14.22005	7.19511	9.253198
221.2811	-11.28329	1.487001	6.163541	-12.16356	-7.511718	16.18468	1.479421	-6.040532	-2.984843	9.74157	3.656833
221.6234	-10.19802	2.044271	13.11376	-7.134296	-2.658321	1.291751	1.686544	-1.861972	7.210443	14.81987	5.099961
221.9657	-5.410104	-0.4560941	4.564347	-13.59491	6.116349	-11.83625	-8.345263	-6.880043	3.644888	1.073647	5.733885
222.308	10.93303	-6.2472	4.47906	-4.37449	25.54846	-0.2877884	4.488005	-1.116201	-0.2450053	-1.139747	4.149691
222.6503	5.955987	-5.15471	-3.542198	2.025203	22.27439	3.06322	-4.394335	-1.378533	-2.121894	1.349811	-4.099496
222.9926	2.236615	9.602033	1.106544	13.42647	15.45047	7.561961	-5.904931	3.449445	-0.7224827	5.057316	-2.921338
223.3349	-2.710796	11.09336	7.551919	9.199183	-0.9588561	2.35871	8.529867	3.611392	-4.355161	15.84704	-8.260035
223.6772	0.03158589	10.33237	5.314618	7.339997	1.158187	7.673397	20.93462	9.178527	-7.86741	14.60923	-11.32937
224.0194	-8.842544	3.529757	-1.224644	5.223106	-10.74901	10.66505	8.693824	6.831618	-2.078702	4.453969	-11.58397
224.3617	-14.06316	8.248813	0.2480591	3.180032	-4.792373	8.84477	-5.937178	-2.224702	6.024072	-5.08548	1.01074
224.7039	-10.0898	-5.30988	12.51876	-0.716228	-9.558366	7.466312	2.058448	-1.279686	1.775763	9.024476	-1.570215
225.0462	2.699362	2.978334	26.55145	-1.911156	-4.834082	11.29639	12.93032	11.94572	-10.33617	12.93422	-3.170684
225.3884	-1.803362	1.849901	19.72208	3.156845	-3.489709	3.385716	17.88573	9.411863	-7.721212	12.1529	-0.4122936
225.7307	-7.223354	12.4447	0.03150522	8.23917	-9.589143	-1.786904	20.35189	-1.9967	-4.979232	7.950809	4.110972
226.0729	-8.239382	1.059945	-7.968879	1.924329	-10.53462	2.04897	8.961548	-12.20525	-16.37873	4.189965	3.337291
226.4151	8.931185	-3.346938	4.395902	-7.49488	-4.684318	4.022719	1.772694	-13.61538	-20.88258	-0.4316899	-3.637255
226.7573	5.476227	-12.42739	9.638204	-7.655453	7.381351	6.455561	-3.28477	-8.118325	-14.34515	-4.142206	-4.671836
227.0995	5.469763	-7.522817	12.88397	9.20082	-3.888695	13.54507	11.58162	0.1713351	1.734866	0.8596216	1.133681
