"Pressure, bar","Pulse energy, mJ","Simulated Angular Frequency Width, /s","Theoretical Angular Frequency Width, /s"
6.157894736842105,1.0,2715345090498487.0,4587764548641142.0
6.894736842105263,1.0,2776243243913081.5,5134489963280380.0
7.63157894736842,1.0,2750803743823247.0,5680738489960287.0
8.368421052631579,1.0,2779216795765284.5,6226510547469490.0
9.105263157894736,1.0,2810044313122892.5,6771806555571804.0
9.842105263157894,1.0,2837634587333078.5,7316626934929210.0
10.578947368421051,1.0,2861411171652487.0,7860972107027096.0
11.31578947368421,1.0,2881453612542203.5,8404842494101781.0
12.052631578947368,1.0,2897926768009296.5,8948238519070206.0
12.789473684210526,1.0,2911695629177409.5,9491160605461830.0
13.526315789473683,1.0,2923035931403350.0,1.003360917735264e+16
14.26315789473684,1.0,2932368140138816.5,1.0575584659301242e+16
15.0,1.0,2937633591380017.5,1.1117087476286978e+16
1.0,1.1,825684733294825.4,822028732408737.1
1.736842105263158,1.1,1311153358279259.5,1427111515370838.5
2.473684210526316,1.1,1690257182578507.8,2031666534613332.0
3.2105263157894735,1.1,2078165213012840.5,2635694240699190.0
3.9473684210526314,1.1,2387591312481186.5,3239195085932239.0
4.684210526315789,1.1,2607503426863381.0,3842169524253331.5
5.421052631578947,1.1,2763477424192390.0,4444618011139382.5
6.157894736842105,1.1,2874116123669976.5,5046541003505257.0
6.894736842105263,1.1,2890230422801741.0,5647938959608419.0
7.63157894736842,1.1,2887089557105179.0,6248812338956317.0
8.368421052631579,1.1,2917053915334324.0,6849161602216440.0
9.105263157894736,1.1,2947485192244186.0,7448987211128984.0
9.842105263157894,1.1,2974153127007006.0,8048289628422131.0
10.578947368421051,1.1,2996359630754507.0,8647069317729807.0
11.31578947368421,1.1,3014946030979547.5,9245326743511960.0
12.052631578947368,1.1,3029803986515379.5,9843062370977226.0
12.789473684210526,1.1,3042110067862811.5,1.0440276666008014e+16
13.526315789473683,1.1,3051796102472581.5,1.1036970095087904e+16
14.26315789473684,1.1,3055194308109953.0,1.1633143125231368e+16
15.0,1.1,3046052594945807.0,1.2228796223915678e+16
1.0,1.2000000000000002,923330809937883.4,896758617173167.6
1.736842105263158,1.2000000000000002,1400145828914287.8,1556848925859096.5
2.473684210526316,1.2000000000000002,1800558539850205.5,2216363492305453.2
3.2105263157894735,1.2000000000000002,2212875364611331.8,2875302808035479.5
3.9473684210526314,1.2000000000000002,2521552030756607.0,3533667366471533.5
4.684210526315789,1.2000000000000002,2736527542039075.0,4191457662821816.0
5.421052631578947,1.2000000000000002,2889390681184058.0,4848674193970235.0
6.157894736842105,1.2000000000000002,2989227051323923.0,5505317458369371.0
6.894736842105263,1.2000000000000002,2969731595328417.0,6161387955936457.0
7.63157894736842,1.2000000000000002,2993832890425113.5,6816886187952345.0
8.368421052631579,1.2000000000000002,3026884605869314.0,7471812656963389.0
9.105263157894736,1.2000000000000002,3057685767525234.5,8126167866686165.0
9.842105263157894,1.2000000000000002,3083761660906131.5,8779952321915052.0
10.578947368421051,1.2000000000000002,3105003440757966.5,9433166528432514.0
11.31578947368421,1.2000000000000002,3122351691181662.0,1.0085810992922136e+16
12.052631578947368,1.2000000000000002,3136431960835449.0,1.0737886222884246e+16
12.789473684210526,1.2000000000000002,3147377343185759.0,1.1389392726554196e+16
13.526315789473683,1.2000000000000002,3150905746287775.0,1.2040331012823168e+16
14.26315789473684,1.2000000000000002,3140425844470297.5,1.2690701591161492e+16
15.0,1.2000000000000002,3118255727531232.0,1.3340504971544376e+16
1.0,1.3000000000000003,926279520283005.0,971488501937598.2
1.736842105263158,1.3000000000000003,1472935559586721.2,1686586336347354.5
2.473684210526316,1.3000000000000003,1890907495218798.5,2401060449997574.5
3.2105263157894735,1.3000000000000003,2306647970856233.0,3114911375371770.0
3.9473684210526314,1.3000000000000003,2611195008318652.0,3828139647010828.5
4.684210526315789,1.3000000000000003,2823418952195499.5,4540745801390301.0
5.421052631578947,1.3000000000000003,2974133326129006.0,5252730376801088.0
6.157894736842105,1.3000000000000003,3055436121574458.5,5964093913233485.0
