"GDD, fs^2","FoOD, fs^4","Simulated Angular Frequency Width, /s"
384.2105263157894,93263.15789473684,254617569205124.53
384.2105263157894,102631.5789473684,254489172581446.03
384.2105263157894,111999.99999999999,254369460314190.84
436.84210526315786,-66000.0,253568717671519.25
436.84210526315786,-56631.57894736841,253489105270757.1
436.84210526315786,-47263.15789473683,253410589715151.3
436.84210526315786,-37894.73684210526,253330751765241.78
436.84210526315786,-28526.315789473683,253247740799865.5
436.84210526315786,-19157.894736842107,253160371291088.47
436.84210526315786,-9789.473684210529,253066773333733.62
436.84210526315786,-421.0526315789487,252966365930728.7
436.84210526315786,8947.36842105263,252857883311616.7
436.84210526315786,18315.78947368421,252740956318570.34
436.84210526315786,27684.21052631578,252616359594494.06
436.84210526315786,37052.63157894737,252484295124553.28
436.84210526315786,46421.05263157894,252345508324793.94
436.84210526315786,55789.47368421053,252201819658848.47
436.84210526315786,65157.8947368421,252054943485829.5
436.84210526315786,74526.31578947368,251908162353665.16
436.84210526315786,83894.73684210527,251763800310163.25
436.84210526315786,93263.15789473684,251624889139278.34
436.84210526315786,102631.5789473684,251495862752202.38
436.84210526315786,111999.99999999999,251380795651204.9
489.47368421052624,-66000.0,250568681959776.7
489.47368421052624,-56631.57894736841,250487344146277.22
489.47368421052624,-47263.15789473683,250401105111429.2
489.47368421052624,-37894.73684210526,250307268700463.84
489.47368421052624,-28526.315789473683,250205748710075.44
489.47368421052624,-19157.894736842107,250095143042266.4
489.47368421052624,-9789.473684210529,249974302454629.34
489.47368421052624,-421.0526315789487,249843863014297.8
489.47368421052624,8947.36842105263,249704901982713.97
489.47368421052624,18315.78947368421,249559617581862.28
489.47368421052624,27684.21052631578,249408391989024.56
489.47368421052624,37052.63157894737,249255488854191.28
489.47368421052624,46421.05263157894,249104266206154.03
489.47368421052624,55789.47368421053,248958340602411.88
489.47368421052624,65157.8947368421,248823286033918.25
489.47368421052624,74526.31578947368,248704156023417.7
489.47368421052624,83894.73684210527,248607890509045.06
489.47368421052624,93263.15789473684,248539658676553.84
489.47368421052624,102631.5789473684,248509050175959.88
489.47368421052624,111999.99999999999,248523269679732.75
542.1052631578947,-66000.0,247467635761715.97
542.1052631578947,-56631.57894736841,247338319233057.34
542.1052631578947,-47263.15789473683,247198706486622.1
542.1052631578947,-37894.73684210526,247050510272045.75
542.1052631578947,-28526.315789473683,246896079856677.47
542.1052631578947,-19157.894736842107,246739474048681.94
542.1052631578947,-9789.473684210529,246585265157135.44
542.1052631578947,-421.0526315789487,246437526170296.4
542.1052631578947,8947.36842105263,246303534911056.78
542.1052631578947,18315.78947368421,246190632041393.9
542.1052631578947,27684.21052631578,246106138203157.53
542.1052631578947,37052.63157894737,246058386191927.25
542.1052631578947,46421.05263157894,246057020555554.12
542.1052631578947,55789.47368421053,246113431228731.8
542.1052631578947,65157.8947368421,246237033377261.88
542.1052631578947,74526.31578947368,246441990482405.2
542.1052631578947,83894.73684210527,246744423522674.34
542.1052631578947,93263.15789473684,247161363520615.53
542.1052631578947,102631.5789473684,245779738610914.94
542.1052631578947,111999.99999999999,245697012062778.1
594.7368421052631,-66000.0,243988331671972.94
594.7368421052631,-56631.57894736841,243880510517038.2
594.7368421052631,-47263.15789473683,243807212015514.9
594.7368421052631,-37894.73684210526,243778453999898.12
594.7368421052631,-28526.315789473683,243806740901398.56
594.7368421052631,-19157.894736842107,243904653642698.72
594.7368421052631,-9789.473684210529,244086064536898.72
594.7368421052631,-421.0526315789487,244368134357581.4
594.7368421052631,8947.36842105263,244767181704628.34
594.7368421052631,18315.78947368421,243561906458680.5
594.7368421052631,27684.21052631578,243480001985334.44
594.7368421052631,37052.63157894737,243406019607991.97
594.7368421052631,46421.05263157894,243334977617637.16
594.7368421052631,55789.47368421053,243260025801131.3
594.7368421052631,65157.8947368421,243175018527215.78
594.7368421052631,74526.31578947368,243079016954440.9
594.7368421052631,83894.73684210527,242969839254595.62
594.7368421052631,93263.15789473684,242845095035402.66
594.7368421052631,102631.5789473684,242706742943570.84
594.7368421052631,111999.99999999999,242556871735044.47
647.3684210526316,-66000.0,241403235722885.38
647.3684210526316,-56631.57894736841,241335489585347.9
647.3684210526316,-47263.15789473683,241267791078032.94
647.3684210526316,-37894.73684210526,241194056772940.16
647.3684210526316,-28526.315789473683,241109466737784.94
647.3684210526316,-19157.894736842107,241010371889315.97
647.3684210526316,-9789.473684210529,240895220877878.62
647.3684210526316,-421.0526315789487,240764293057994.47
647.3684210526316,8947.36842105263,240619520291251.62
647.3684210526316,18315.78947368421,240463572342489.84
647.3684210526316,27684.21052631578,240303363358545.78
647.3684210526316,37052.63157894737,240145167009866.78
647.3684210526316,46421.05263157894,239997924198630.62
647.3684210526316,55789.47368421053,239873020856124.53
647.3684210526316,65157.8947368421,239782247115577.8
647.3684210526316,74526.31578947368,239739288951193.03
647.3684210526316,83894.73684210527,239758656441283.7
647.3684210526316,93263.15789473684,239858190133648.38
647.3684210526316,102631.5789473684,240056063462781.72
647.3684210526316,111999.99999999999,240373382434062.1
700.0000000000001,-66000.0,238197867112037.28
700.0000000000001,-56631.57894736841,238074251664903.0
700.0000000000001,-47263.15789473683,237987213782594.22
700.0000000000001,-37894.73684210526,237952604676725.1
